이름,WAR,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC,WPA
최영환,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
오현택,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
김사훈,-0.02,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.3,-0.03
정성종,-0.02,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.3,-0.06
황진수,-0.03,6,4,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0.25,0,0.25,0.18,-3.7,0.03
정준혁,-0.03,6,11,11,1,3,0,0,0,3,1,0,0,0,0,0,6,0,0,0,0.273,0.273,0.273,0.546,0.258,49.2,-0.03
정훈,-0.06,88,222,190,26,43,4,1,2,55,17,4,3,23,5,1,47,4,3,1,0.226,0.324,0.289,0.614,0.293,73.4,-0.59
김문호,-0.07,51,109,103,6,25,7,0,0,32,4,2,0,4,0,0,30,1,1,1,0.243,0.269,0.311,0.579,0.267,55.1,-1.1
나경민,-0.07,45,49,45,10,9,0,2,0,13,7,2,0,3,1,0,12,0,0,0,0.2,0.265,0.289,0.554,0.262,54.5,0.44
배성근,-0.08,36,48,44,4,9,1,0,0,10,2,1,0,4,0,0,13,0,0,0,0.205,0.271,0.227,0.498,0.245,40.3,0.06
이병규,-0.11,8,22,19,1,3,2,0,0,5,0,0,0,2,1,0,7,1,0,0,0.158,0.273,0.263,0.536,0.262,52.5,-0.27
최형우,4.16,136,555,456,65,137,31,1,17,221,86,0,1,85,7,6,77,13,0,7,0.3,0.413,0.485,0.897,0.406,150.3,3.05
터커,3.25,95,399,357,50,111,33,0,9,171,50,0,0,38,3,0,44,12,0,1,0.311,0.381,0.479,0.86,0.393,141.4,0.56
안치홍,2.84,105,408,362,45,114,18,1,5,149,49,4,2,40,1,1,37,9,0,5,0.315,0.38,0.412,0.792,0.368,123.3,0.93
이창진,2.5,133,470,400,57,108,25,1,6,153,48,8,8,57,4,0,92,8,4,5,0.27,0.363,0.383,0.745,0.347,108.8,-0.85
김선빈,2.3,121,447,394,55,115,22,0,3,146,40,5,4,43,1,0,26,7,5,4,0.292,0.36,0.371,0.73,0.34,104.6,1.05
이명기,1.28,80,302,265,37,75,10,2,1,92,20,4,3,28,4,1,41,4,3,2,0.283,0.358,0.347,0.705,0.331,97.6,-0.9
유민상,1.23,61,202,175,23,51,15,0,5,81,26,0,0,23,4,0,35,6,0,0,0.291,0.386,0.463,0.849,0.391,139.6,0.46
박찬호,0.91,133,541,504,60,131,15,4,2,160,49,39,6,26,4,0,83,8,5,2,0.26,0.3,0.317,0.618,0.289,68.7,-0.19
김주찬,0.71,100,363,337,35,101,16,0,3,126,32,3,1,17,5,3,44,6,1,3,0.3,0.34,0.374,0.714,0.33,97,-0.46
황윤호,0.43,57,130,123,9,37,5,2,1,49,9,2,2,5,0,0,12,2,1,1,0.301,0.326,0.398,0.724,0.331,97.3,-0.25
신범수,0.34,39,65,57,4,12,5,0,2,23,7,0,0,7,1,0,14,1,0,0,0.211,0.308,0.404,0.711,0.327,96.2,-0.08
한승택,0.27,105,288,251,22,56,9,1,3,76,27,1,0,27,1,1,82,8,7,2,0.223,0.299,0.303,0.602,0.278,61.6,-0.5
백용환,0.24,28,51,47,3,11,2,0,2,19,6,0,0,3,1,0,14,0,0,0,0.234,0.294,0.404,0.698,0.32,90.9,-0.37
나지완,0.06,56,153,129,12,24,5,0,6,47,17,0,0,19,3,1,37,3,0,2,0.186,0.301,0.364,0.665,0.306,82.2,-0.7
