이름,WAR.,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC.,WPA,target
이종욱,1.92,125,504,440,63,118,25,2,5,162,52,17,4,54,3,5,78,5,4,3,0.268,0.35,0.368,0.718,0.327,86.5,0.94,50000
이창섭,-0.01,16,8,5,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0.375,0,0.375,0.275,49.8,-0.01,3000
이호준,1.87,131,518,449,48,132,25,0,24,229,110,0,2,61,3,7,102,16,3,2,0.294,0.381,0.51,0.891,0.386,125.7,3.65,75000
조영훈,0.92,103,146,124,20,35,8,0,8,67,35,3,0,19,0,0,36,1,1,2,0.282,0.372,0.54,0.913,0.392,129.5,0.65,11000
조평호,0.14,22,22,22,4,8,2,0,1,13,3,0,0,0,0,0,6,1,0,0,0.364,0.364,0.591,0.955,0.416,145.4,-0.03,3500
지석훈,0.98,137,466,415,53,111,15,0,11,159,46,4,1,23,16,0,85,9,9,3,0.267,0.328,0.383,0.711,0.319,81,0.31,14000
최재원,0.43,114,102,85,31,21,8,0,2,35,13,14,5,10,6,0,29,1,1,0,0.247,0.366,0.412,0.778,0.355,104.1,-0.34,2500
테임즈,10.71,142,595,472,130,180,42,5,47,373,140,40,8,103,13,11,91,7,0,7,0.381,0.498,0.79,1.288,0.53,222.3,7.02,125000
권희동,0.04,14,47,41,4,11,0,0,1,14,9,0,1,5,1,0,9,0,0,0,0.268,0.362,0.341,0.703,0.337,87.9,0.09,6800
김성욱,1.23,130,348,306,60,81,15,1,15,143,51,5,2,30,3,0,64,15,7,2,0.265,0.334,0.467,0.802,0.348,94.9,0.57,10000
김종호,0.23,93,137,122,26,36,2,0,0,38,7,13,6,14,0,0,30,3,1,0,0.295,0.368,0.311,0.679,0.329,82.9,-0.01,15000
김준완,1.18,122,325,253,60,66,7,1,1,78,12,2,5,66,2,0,62,4,2,1,0.261,0.416,0.308,0.724,0.36,102.6,0.38,7000
나성범,4.42,144,653,572,116,177,37,2,22,284,113,7,4,67,9,2,136,4,1,4,0.309,0.388,0.497,0.885,0.395,125.9,1.93,35000
모창민,1,63,147,133,16,44,8,0,5,67,20,3,2,9,1,0,24,7,1,3,0.331,0.37,0.504,0.874,0.384,118.4,0.46,11700
박광열,0.13,13,15,15,0,6,0,0,0,6,0,0,0,0,0,0,3,1,0,0,0.4,0.4,0.4,0.8,0.378,115.9,-0.1,3000
박민우,4.09,121,515,435,84,149,16,6,3,186,55,20,6,55,8,1,70,9,10,7,0.343,0.42,0.428,0.847,0.387,122.1,2.5,25000
박석민,4.78,126,506,427,77,131,20,0,32,247,104,2,0,56,16,2,95,18,2,4,0.307,0.404,0.578,0.982,0.424,144.1,2.16,75000
손시헌,2.73,110,403,341,36,104,21,2,5,144,39,1,0,38,13,0,48,13,10,1,0.305,0.394,0.422,0.817,0.371,110.3,1.81,40000
이상호,0.1,15,27,25,1,7,2,0,0,9,1,3,0,0,2,0,4,3,0,0,0.28,0.333,0.36,0.693,0.326,80.8,0.19,4800
이종욱,2.54,134,517,453,73,138,24,4,5,185,57,15,3,54,1,0,73,11,4,5,0.305,0.376,0.408,0.785,0.361,104.1,1.21,50000
이호준,1.71,119,472,399,46,119,20,0,21,202,87,3,2,65,2,6,78,11,2,4,0.298,0.396,0.506,0.902,0.396,125.7,3.17,75000
조영훈,1.18,109,207,179,29,60,14,0,5,89,35,3,3,21,3,1,43,2,1,3,0.335,0.408,0.497,0.905,0.404,131.7,0.5,15000
테임즈,5.97,123,529,436,118,140,30,3,40,296,121,13,4,74,12,6,103,2,0,7,0.321,0.427,0.679,1.106,0.463,170.5,5.57,125000
강민호,5.23,123,456,380,63,118,18,1,35,243,86,0,0,60,14,2,112,14,0,2,0.311,0.421,0.639,1.061,0.451,164.9,4.59,1.00E+05
김문호,0.74,93,325,288,35,88,13,0,4,113,31,8,5,25,4,0,45,11,6,2,0.306,0.367,0.392,0.759,0.345,98.5,-0.85,7000
김민하,0.63,54,141,116,18,28,6,0,1,37,8,4,2,18,4,0,40,4,3,0,0.241,0.362,0.319,0.681,0.322,84.2,0.09,4000
김주현,0.03,47,79,73,7,19,4,0,2,29,12,1,0,5,0,0,19,3,1,0,0.26,0.308,0.397,0.705,0.313,76.5,0.04,3300
손아섭,3.8,116,517,445,86,141,28,1,13,210,54,11,6,68,1,3,96,6,0,3,0.317,0.406,0.472,0.878,0.395,131.1,1.87,60000
아두치,4.71,132,594,526,105,165,34,5,28,293,106,24,10,55,8,8,118,9,1,4,0.314,0.385,0.557,0.942,0.405,135.2,5.41,78000
안중열,0.78,60,109,98,15,26,9,0,1,38,13,1,0,6,0,0,26,3,4,1,0.265,0.305,0.388,0.693,0.3,67.9,-0.44,4000
오윤석,0.07,29,36,33,7,9,1,0,1,13,3,0,0,2,0,0,8,2,1,0,0.273,0.314,0.394,0.708,0.311,75.6,-0.14,2700
오현근,-0.08,20,36,28,3,6,2,0,0,8,3,1,1,6,0,0,6,0,2,0,0.214,0.353,0.286,0.639,0.297,66.3,-0.27,3000
장성우,0.33,22,56,49,4,12,2,1,3,25,12,0,0,5,0,0,12,3,1,1,0.245,0.309,0.51,0.819,0.342,92.9,0.35,5500
정훈,3.41,135,562,486,85,146,27,2,9,204,62,16,6,52,14,2,102,14,7,3,0.3,0.382,0.42,0.802,0.363,110.1,-0.65,21000
최준석,3.04,144,618,507,78,155,18,1,31,268,109,0,0,108,1,4,134,17,1,1,0.306,0.428,0.529,0.957,0.422,148,4.56,40000
하준호,-0.26,12,30,30,3,5,1,0,1,9,1,0,0,0,0,0,14,0,0,0,0.167,0.167,0.3,0.467,0.2,1.2,-0.23,2400
황재균,4.01,144,596,534,95,155,41,2,26,278,97,11,10,48,4,1,122,14,4,6,0.29,0.35,0.521,0.87,0.375,115.4,1.43,50000
강민호,5,116,460,381,65,123,26,0,20,209,72,4,0,66,10,4,91,7,0,3,0.323,0.433,0.549,0.981,0.434,147.7,5.06,1.00E+05
김동한,0.05,50,96,88,6,23,5,0,0,28,12,4,1,6,0,0,16,1,2,0,0.261,0.309,0.318,0.627,0.29,56,0.14,3800
김문호,2.47,140,599,526,77,171,28,3,7,226,70,12,15,62,6,1,70,15,3,2,0.325,0.401,0.43,0.831,0.384,117,1.35,14000
김사훈,0.02,19,36,28,5,9,1,0,0,10,4,0,0,3,0,0,6,1,5,0,0.321,0.387,0.357,0.744,0.307,68,-0.05,2900
김상호,0.57,114,415,366,39,106,20,0,7,147,56,3,1,38,4,2,84,10,2,5,0.29,0.358,0.402,0.76,0.347,92.6,-0.92,6000
김주현,-0.11,21,33,29,4,6,4,0,0,10,1,1,0,3,0,0,12,0,1,0,0.207,0.281,0.345,0.626,0.279,47.6,-0.46,3400
김준태,0.39,68,144,120,12,33,3,1,2,44,16,0,0,22,0,1,42,0,1,1,0.275,0.385,0.367,0.751,0.352,97.4,0.41,2500
맥스웰,0.75,23,99,80,14,23,3,1,4,40,16,2,2,15,3,0,25,0,0,1,0.288,0.414,0.5,0.914,0.411,134,0.71,28000
